"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Palau","PLW","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","5000000","5000000","12000000","111000000","237000000","234000000","319000000","309000000","288000000","323000000","268000000","274000000","272000000","158000000","232000000","299000000","406000000","382000000","317000000","229000000","207000000","346000000","211000000","115000000","90000000","130000000","265000000","222000000","232000000","20000000","105000000","55000000","56000000","","131000000","175000000","46000000","21000000","1000000","64000000","47000000","81000000","56000000","81000000","47000000","18000000","282000000","163000000","73000000","75000000","28000000","8000000","24000000","142000000","24000000","3000000","5000000","15000000","21000000","","",
"Pre-demographic dividend","PRE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","","","","1000000","0","","","1000000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","8000000","12000000","","","","20000000","29000000","5000000","148000000","250000000","88000000","57000000","65000000","212000000","189000000","58000000","4000000","113000000","131000000","137000000","24000000","41000000","47000000","47000000","81000000","55000000","58000000","73000000","162000000","134000000","47000000","20000000","20000000","20000000","20000000","26000000","5000000","","","","1000000","","","","","","",
"Portugal","PRT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","2000000","","","","3000000","","5000000","11000000","105000000","21000000","","4000000","4000000","2000000","","","1000000","","","1000000","1000000","","71000000","","","","1000000","","","","","","","","","","","","","","","99000000","46000000","","0","0","","18000000","7000000","172000000","56000000","3000000","3000000","",
"Paraguay","PRY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pacific island small states","PSS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","10096000000","9842000000","9424000000","12631000000","16785000000","15279000000","13178000000","12486000000","13185000000","16661000000","13875000000","19261000000","18388000000","18802000000","19521000000","23696000000","23713000000","22675000000","22926000000","18741000000","21002000000","25735000000","25673000000","25141000000","23435000000","20485000000","20113000000","21037000000","20352000000","20718000000","18287000000","19842000000","19888000000","19989000000","19610000000","17446000000","18884000000","24360000000","24931000000","19786000000","13814000000","12080000000","10431000000","12025000000","13368000000","15165000000","17515000000","19324000000","16075000000","16489000000","16328000000","18948000000","17253000000","15875000000","19204000000","19428000000","19837000000","22264000000","18150000000","19925000000","",
"French Polynesia","PYF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000000","","","","","","9000000","","","","","","","2000000","","","","","0","","","","","","","3000000","11000000","",
"Romania","ROU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","6000000","9000000","9000000","1000000","","","","27000000","44000000","48000000","30000000","91000000","101000000","173000000","99000000","28000000","35000000","52000000","25000000","7000000","5000000","14000000","16000000","29000000","9000000","4000000","11000000","2000000","19000000","3000000","","","24000000","","3000000","8000000","32000000","","2000000","1000000","0","108000000","108000000","","","","","","","",
"Russian Federation","RUS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2605000000","3439000000","1475000000","3891000000","3571000000","3347000000","2040000000","4264000000","4503000000","5291000000","5746000000","5169000000","6288000000","5229000000","5159000000","5535000000","6253000000","5066000000","6275000000","8730000000","8261000000","7986000000","5527000000","5990000000","6841000000","6015000000","6506000000","4718000000","",
"Rwanda","RWA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia","SAS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","6000000","1000000","","","10000000","2000000","21000000","24000000","31000000","","","27000000","","","","32000000","","","","","","","1000000","85000000","3000000","","","4000000","","","","8000000","0","24000000","3000000","9000000","12000000","36000000","43000000","37000000","23000000","16000000","27000000","5000000","3000000","","14000000","36000000","42000000","46000000","59000000","45000000","116000000","",
"Saudi Arabia","SAU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","4000000","3000000","","","","2000000","","","","0","13000000","","","","33000000","","","3000000","4000000","","","","","","","","12000000","","","1000000","","","","","","","","","","18000000","","","","1000000","62000000","","","","3000000","","","","","",
"Sudan","SDN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","","","","","","","","","","","","","","","","","","","11000000","","","","","","","",
"Senegal","SEN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Singapore","SGP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","2000000","","","","17000000","","","30000000","72000000","","15000000","","25000000","91000000","","","81000000","25000000","87000000","44000000","3000000","3000000","11000000","30000000","","0","46000000","23000000","11000000","11000000","","4000000","","65000000","","","","","31000000","25000000","13000000","76000000","1000000","2000000","48000000","47000000","","","","",
"Solomon Islands","SLB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El Salvador","SLV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"San Marino","SMR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000000","5000000","","","","11000000","","","","","5000000","5000000","45000000","1000000","31000000","4000000","11000000","11000000","10000000","35000000","23000000","2000000","27000000","","",
"Sub-Saharan Africa (excluding high income)","SSA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","5000000","","14000000","3000000","6000000","12000000","2000000","2000000","18000000","19000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa","SSF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","5000000","","14000000","3000000","6000000","12000000","2000000","2000000","18000000","19000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Small states","SST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Slovak Republic","SVK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173000000","37000000","97000000","59000000","55000000","10000000","125000000","37000000","53000000","32000000","","46000000","","7000000","22000000","8000000","","","","4000000","1000000","8000000","3000000","18000000","22000000","12000000","","",
"Slovenia","SVN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"Sweden","SWE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","38000000","45000000","44000000","13000000","22000000","32000000","56000000","55000000","60000000","36000000","262000000","550000000","138000000","15000000","75000000","122000000","70000000","53000000","54000000","263000000","158000000","130000000","125000000","117000000","224000000","209000000","317000000","233000000","515000000","403000000","231000000","156000000","149000000","103000000","111000000","196000000","347000000","102000000","336000000","386000000","359000000","895000000","163000000","515000000","294000000","534000000","390000000","336000000","453000000","409000000","659000000","694000000","478000000","388000000","336000000","175000000","261000000","82000000","159000000","206000000","",
"Eswatini","SWZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sint Maarten (Dutch part)","SXM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","17000000","","","","2000000","2000000","","0","","","","","178000000","46000000","1000000","29000000","31000000","","15000000","","","","40000000","40000000","","","0","0","","","","","","","","","3000000","","","20000000","20000000","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","51000000","18000000","67000000","386000000","619000000","410000000","730000000","657000000","905000000","","","","","","","","","","","","","","","","","","","","","","","","","1035000000","","","","392000000","","","","707000000","445000000","294000000","783000000","514000000","653000000","1140000000","1478000000","1285000000","1540000000","2095000000","1241000000","1799000000","2460000000","1442000000","1155000000","1431000000","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","5000000","5000000","12000000","111000000","237000000","234000000","319000000","309000000","288000000","323000000","268000000","280000000","281000000","167000000","233000000","","","","344000000","273000000","278000000","387000000","","220000000","","","399000000","","","","","","","","1962000000","4323000000","4062000000","4509000000","2862000000","5970000000","5233000000","6012000000","6371000000","6080000000","6747000000","5725000000","6217000000","6606000000","7145000000","5926000000","7282000000","9730000000","10126000000","9369000000","6430000000","6869000000","7879000000","6605000000","7073000000","","",
"Togo","TGO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Thailand","THA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","7000000","","93000000","","","","","","","","","","2000000","2000000","","","",
"Tajikistan","TJK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","8000000","12000000","6000000","","4000000","","","0","","","","","","","","72000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","",
"Timor-Leste","TLS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","12000000","8000000","2000000","","13000000","32000000","32000000","21000000","79000000","42000000","","28000000","154000000","","","","","","158000000","","427000000","207000000","","","","","","","","","","","83000000","","","14000000","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","6000000","1000000","","","10000000","2000000","21000000","24000000","31000000","","","27000000","","","","32000000","","","","","","","1000000","85000000","3000000","","","4000000","","","","8000000","0","24000000","3000000","9000000","12000000","36000000","43000000","37000000","23000000","16000000","27000000","5000000","3000000","","14000000","36000000","42000000","46000000","59000000","45000000","116000000","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","5000000","","14000000","3000000","6000000","12000000","2000000","2000000","18000000","19000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tunisia","TUN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkey","TUR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","23000000","11000000","","","","","","","","","","","","","","3000000","3000000","0","3000000","43000000","19000000","5000000","26000000","42000000","28000000","23000000","82000000","66000000","111000000","63000000","72000000","86000000","143000000","156000000","165000000","248000000","232000000","171000000","265000000","245000000","",
"Tuvalu","TUV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uganda","UGA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","",
"Ukraine","UKR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165000000","82000000","236000000","167000000","256000000","558000000","708000000","732000000","270000000","511000000","310000000","306000000","199000000","291000000","531000000","644000000","392000000","433000000","485000000","570000000","1501000000","674000000","622000000","343000000","486000000","307000000","195000000","91000000","",
"Upper middle income","UMC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","317000000","80000000","","","","","","443000000","","691000000","","","","","","916000000","","","","","","","","","","","","","","","","","","","","5006000000","","","","","","","","","7100000000","","6477000000","","7600000000","6618000000","","10406000000","10292000000","10711000000","7299000000","8414000000","9982000000","7945000000","8180000000","6761000000","",
"Uruguay","URY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","6056000000","6404000000","5928000000","9017000000","12237000000","11151000000","8413000000","7256000000","8449000000","11770000000","9011000000","11720000000","10787000000","12033000000","12780000000","15680000000","15662000000","14387000000","14083000000","9721000000","10732000000","13611000000","14015000000","13947000000","11887000000","10815000000","11651000000","12252000000","11898000000","11347000000","10733000000","12489000000","14118000000","13856000000","11526000000","11218000000","10878000000","14531000000","15733000000","11562000000","7577000000","5606000000","4947000000","5659000000","6843000000","6770000000","7521000000","7832000000","6797000000","6870000000","8033000000","8988000000","9074000000","7508000000","9608000000","9963000000","9855000000","12050000000","10414000000","10752000000","",
"Uzbekistan","UZB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252000000","126000000","4000000","","","","209000000","209000000","209000000","","","","34000000","68000000","","","","",
"St. Vincent and the Grenadines","VCT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","17000000","","","","","","13000000","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","1000000","","7000000","","3000000","40000000","","","","","","","","","","","",
"British Virgin Islands","VGB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","0","","","","","","","","","","","","","","","11000000","","","","","","","","","","","","","","","","","","","14000000","","","","","","","","","","","","","","",
"Vanuatu","VUT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"World","WLD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa","WSM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","XKX","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","6000000","","","","","","","","","","","51000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Africa","ZAF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","4000000","","14000000","3000000","5000000","12000000","1000000","2000000","18000000","16000000","0","","","39000000","39000000","1000000","","","25000000","25000000","28000000","25000000","0","","54000000","75000000","54000000","11000000","17000000","31000000","7000000","22000000","28000000","21000000","37000000","17000000","43000000","72000000","30000000","187000000","127000000","141000000","103000000","235000000","71000000","184000000","103000000","65000000","58000000","74000000","77000000","65000000","145000000","",
"Zambia","ZMB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","","","","","","","","","","","",
